names,links,lat,lon,hotel_note,description
La Planque Hotel,https://www.booking.com/hotel/fr/la-planque-paris.fr.html,48.83,2.315,9.1,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Planque Hotel ! Connectez-vous pour économiser. L'hôtel La Planque à Paris propose un hébergement 3 étoiles avec un salon commun et une terrasse. Doté d’un jardin, cet hôtel 3 étoiles propose des chambres pourvues de la climatisation, d’une connexion Wi-Fi gratuite ainsi que d’une salle de bains privative. Sur place, vous pourrez profiter d’une bagagerie et de services d’étage et de concierge.Les chambres de l’hôtel comprennent un bureau. Vous bénéficierez également d'une télévision à écran plat et d'articles de toilette gratuits.Un petit-déjeuner buffet est proposé tous les matins sur place.Parlant français, anglais, arabe et allemand, le personnel de la réception ouverte 24h/24 se fera un plaisir de vous aider à planifier votre séjour.Vous séjournerez à proximité des stations de métro Gare de l'Est et Gare du Nord et de la gare du Nord. L’aéroport Paris-Charles-de-Gaulle, le plus proche, est situé à 17 km de l’hôtel. "
Les Jardins Du Luxembourg,https://www.booking.com/hotel/fr/les-jardins-du-luxembourg.fr.html,48.83,2.315,9.0," Doté d'une connexion Wi-Fi gratuite, l'établissement Les Jardins Du Luxembourg vous accueille à Paris, à 1,2 km de la cathédrale Notre-Dame. Vous trouverez un bar sur place.Les chambres disposent d’une télévision à écran plat. Pour vous assurer un confort optimal, un sèche-cheveux et des articles de toilette gratuits sont fournis.L’établissement comporte une réception ouverte 24h/24.Le musée du Louvre et le centre Pompidou se trouvent à 2,1 km. L’aéroport le plus proche, celui de Paris-Orly, est situé à 14,6 km. "
Best Western Plus Hotel Sydney Opera,https://www.booking.com/hotel/fr/best-western-sydney-opera-paris1.fr.html,48.83,2.315,9.0," L'hôtel Sydney Opéra est une petite structure 3 étoiles de 36 chambres.Situé dans le 8ème arrondissement, entre l'opéra Garnier, l'église de la Madeleine, le boulevard Haussmann et la gare Saint Lazare, l'hôtel Best Western Plus Sydney Opéra propose différents types de chambres de 12 à 30 m².Les salles de bains sont équipées d'une baignoire, ou d'une douche, et d'un sèche-cheveux.Vous pourrez commencer votre journée en savourant un petit-déjeuner buffet, servi de 7h à 10h30 du lundi au vendredi et de 7h à 11h le week-end. Les produits sans gluten et les aliments végétaliens ne sont pas proposés.Vous trouverez de nombreux restaurants, brasseries ou cafés, à proximité immédiate de l'établissement.L'Opéra Garnier est à 600 m de l'hôtel. Le jardin des Tuileries est accessible à 1 km et le musée du Louvre à 1,5 km. L'avenue des Champs-Élysées vous attend à 1,5 km de l'établissement. L'aéroport de Paris-Orly est implanté à 24 km tandis que l'aéroport de Paris-Charles De Gaulle est à 27 km.L'hôtel Sydney Opéra est une petite structure 3 étoiles de 36 chambres.Situé dans le 8ème arrondissement, entre l'Opéra Garnier, l'église de la Madeleine, le boulevard Haussmann et la gare Saint Lazare, l'hôtel Best Western Plus Sydney Opéra propose différents types de chambres de 12 à 30 m².Les salles de bains sont équipées d'une baignoire ou d'une douche et d'un sèche-cheveux.Vous pourrez commencer votre journée en savourant un petit-déjeuner buffet, servi de 7h à 10h30 du lundi au vendredi et de 7h à 11h le week-end. Les produits sans gluten et les aliments végétaliens ne sont pas proposés.Vous trouverez de nombreux restaurants, brasseries ou cafés, à proximité immédiate de l'établissement.L'Opéra Garnier est à 600 m de l'hôtel. Le jardin des Tuileries est accessible à 1 km et le musée du Louvre à 1,5 km. L'avenue des Champs-Élysées vous attend à 1,5 km. L'aéroport de Paris-Orly est implanté à 24 km tandis que l'aéroport de Paris-Charles De Gaulle est à 27 km. "
Le Basile Hôtel,https://www.booking.com/hotel/fr/basile.fr.html,48.83,2.315,9.0,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Basile Hôtel ! Connectez-vous pour économiser. L'Le Basile Hôtel se trouve à 2 minutes à pied de la Place de la Madeleine et à 600 mètres de l'Opéra Garnier, dans le 9ème arrondissement de Paris. La réception est ouverte 24h/24 et une connexion Wi-Fi est gratuitement mise à votre disposition dans l'ensemble de l'établissement.Les chambres de l'Le Basile Hôtel comprennent une salle de bains privative avec baignoire ou douche, une télévision par câble à écran plat, un minibar et un coffre-fort pour ordinateur portable.L'Le Basile Hôtel propose une bagagerie et des journaux gratuits. Vous pourrez déguster votre petit-déjeuner en chambre sur demande.L'établissement se situe en plein au cœur de Paris, à 4 km de la Tour Eiffel et à seulement 1,8 km du Louvre. "
Hôtel de Roubaix,https://www.booking.com/hotel/fr/de-roubaix.fr.html,48.83,2.315,9.0,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel de Roubaix ! Connectez-vous pour économiser. Situé au cœur du IIIème arrondissement de Paris, à seulement 300 mètres du musée des Arts et Métiers, cet hôtel propose une connexion Wi-Fi gratuite. La station de métro Réaumur-Sébastopol se trouve à 2 minutes à pied.Chacune des chambres de l'Hotel de Roubaix dispose d'une télévision par satellite à écran plat. Elles sont pourvues de parquet, d'une armoire et d'une salle de bains privative.Un petit-déjeuner continental est servi chaque matin dans l'espace dédié. Les chambres de l'Hotel Roubaix sont desservies par un ascenseur et la réception est ouverte 24h/24.La place de la République se trouve à 850 mètres et la station de métro ainsi que de RER Les Halles est accessible en 10 minutes à pied. L'hôtel est situé à 1,4 km du musée du Louvre. "
Hôtel Le Presbytère,https://www.booking.com/hotel/fr/hotel-le-presbytere.fr.html,48.83,2.315,9.3,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Presbytère ! Connectez-vous pour économiser. L'Hôtel Le Presbytère vous accueille dans un ancien presbytère. Il est situé dans le centre de Paris, à seulement 300 mètres du célèbre Centre Pompidou et à 350 mètres du centre commercial des Halles. Notre-Dame de Paris est à 800 mètres.Réparties sur 5 étages, les chambres de cet hôtel 3 étoiles disposent toutes d'une salle de bains privative. Leur décoration et leur mobilier gothiques vous plongeront dans une autre époque. Un plateau de courtoisie est mis à votre disposition en chambre.Un petit-déjeuner continental est servi quotidiennement, dans le confort de votre chambre sur réservation préalable. Vous trouverez des bars et des restaurants à quelques minutes de marche. L'Hôtel Le Presbytère se trouve à seulement 350 mètres de la station de métro Châtelet (lignes 1, 4, 7, 11 et 14) qui vous permettra de découvrir aisément les autres quartiers de Paris. Un parking public est disponible moyennant des frais supplémentaires. "
Cheval Blanc Paris & Dior Spa Cheval Blanc Paris,https://www.booking.com/hotel/fr/cheval-blanc-paris.fr.html,48.83,2.315,9.5," Doté d’un bar, le Cheval Blanc Paris & Dior Spa Cheval Blanc Paris vous accueille à Paris, en Île-de-France, à 400 mètres du musée du Louvre et de la Sainte-Chapelle. Installé dans le 1er arrondissement, l’établissement vous propose une piscine intérieure, une salle de sport, un spa et 4 restaurants. Vous bénéficierez également d’une réception ouverte 24h/24 et d’un service d’étage.Toutes les chambres comportent la climatisation, une télévision par câble à écran plat, un minibar, une bouilloire, une douche, des peignoirs et un bureau. Les logements de l’hôtel disposent de chaussons et d’un iPad.Au Cheval Blanc & Dior Spa Paris, vous pourrez déguster un petit-déjeuner à la carte ou américain.Lors de votre séjour, vous pourrez profiter d’un sauna.Le Cheval Blanc Paris & Dior Spa Cheval Blanc Paris se trouve à proximité de lieux d’intérêt prisés de la capitale, comme le Centre Pompidou, la cathédrale Notre-Dame et le jardin des Tuileries. L’aéroport de Paris-Orly, le plus proche, est situé à 14 km de l’hôtel. "
Les Rives de Notre-Dame,https://www.booking.com/hotel/fr/les-rives-de-notre-dame.fr.html,48.83,2.315,9.3," Situé dans le Quartier Latin, en face de la Sainte-Chapelle, Les Rives de Notre-Dame propose un hébergement traditionnel de style parisien dans le centre romantique de Paris.Situé sur les rives de la Seine, l'hôtel dispose de 10 chambres confortables et élégantes offrant un espace confortable et spacieux.Toutes les chambres sont dotées d'une salle de bains privative moderne, de la climatisation, d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. Les chambres vont de la chambre standard à la chambre supérieure et l'établissement possède une suite au dernier étage. Des chambres non-fumeurs sont disponibles sur demande.Le service en chambre est disponible pour le petit déjeuner et toutes les chambres sont desservies par un ascenseur.Pour votre prochaine visite à la ville des lumières, séjournez à proximité du quartier animé de Saint-Germain-des-Prés, non loin de tous les sites les plus visités, au Rives de Notre-Dame. "
Hôtel D'Aubusson,https://www.booking.com/hotel/fr/d-aubusson.fr.html,48.83,2.315,9.2," L'Hôtel D'Aubusson occupe un hôtel particulier du XVIIe siècle au cœur du Quartier latin, à seulement 350 mètres de la station de métro Odéon. Ce luxueux établissement propose un bar jazz et une cour intérieure agrémentée d'une fontaine.Les chambres de l'Hôtel D'Aubusson sont ornées de poutres d'origine, d'un mobilier ancien et d'une cheminée monumentale en pierre de Bourgogne. Certaines suites présentent un lit à baldaquin et offrent une vue sur la cour avec ses statues de marbre. Tous les hébergements sont dotés d'une salle de bains en marbre, d'une machine à café Nespresso et d'une connexion Wi-Fi haut débit gratuite.Un petit-déjeuner anglais complet est servi chaque matin dans l'élégante salle prévue à cet effet. Le bar jazz Café Laurent est installé dans le même bâtiment que l'Hôtel D'Aubusson.L'établissement comporte une réception ouverte 24h/24, ainsi que des services de navette aéroport et de billetterie. Des massages sont dispensés sur demande. Le musée du Louvre et la cathédrale Notre-Dame se trouvent à 10 minutes à pied. L'établissement possède un parking souterrain. "
Hotel Saint-Louis en L'Isle,https://www.booking.com/hotel/fr/saint-louis-en-l-isle.fr.html,48.83,2.315,9.1,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Saint-Louis en L'Isle ! Connectez-vous pour économiser. L'Hôtel Saint-Louis en l'Isle est situé à Paris, au cœur de l'île Saint-Louis, à 250 mètres de la cathédrale Notre-Dame de Paris et du quartier latin. Il comprend une connexion Wi-Fi gratuite.Chaque chambre climatisée et insonorisée présente une décoration classique et des poutres en bois apparentes. Elles sont équipées de la télévision par satellite et d'une salle de bains privative. Un iPad est disponible sur demande.Des murs en pierre apparente, des tomettes anciennes et des poutres en chêne font de l'Hôtel Saint-Louis en l'Isle un lieu unique. Un ascenseur dessert tous les étages, y compris la salle voûtée en pierre où un petit-déjeuner buffet est servi tous les jours.Son emplacement central vous permettra de découvrir toute la capitale française, des lieux tels que l'hôtel de ville et Châtelet étant situés à seulement 700 mètres de là. La station de métro Pont Marie se trouve à 350 mètres de l'hôtel et vous permettra d'explorer le reste de Paris. "
Hôtel de Joséphine BONAPARTE,https://www.booking.com/hotel/fr/josephine-bonaparte.fr.html,48.83,2.315,9.1," Occupant un couvent du XVIIe siècle, l'Hôtel de Joséphine BONAPARTE est situé au cœur du quartier historique du Marais, dans le centre de Paris. Ses chambres décorées de façon personnalisée sont dotées d'une connexion Wi-Fi gratuite.Affichant des caractéristiques d'origine telles que des poutres apparentes, toutes les chambres comprennent une télévision et un plateau/bouilloire. Certaines possèdent également une baignoire.Le matin, un petit-déjeuner buffet est servi dans le salon commun. Vous aurez également la possibilité de le savourer dans votre chambre, moyennant des frais supplémentaires. L'établissement compte aussi un bar à champagne ouvert toute la journée et vous pourrez vous détendre dans le patio sur place.Enfin, l'Hôtel de Joséphine BONAPARTE se trouve à seulement 80 mètres de la station de métro Saint-Paul, à 5 minutes à pied de la célèbre place des Vosges et à 7 minutes de marche de la place de la Bastille. "
Relais Christine,https://www.booking.com/hotel/fr/relais-christine.fr.html,48.83,2.315,9.1," L'hôtel de caractère Relais Christine occupe un manoir du XVIIe siècle au cœur de Saint-Germain-des-Prés, à seulement 700 mètres de la cathédrale Notre-Dame. Il dispose d'un jardin de 150 m² et propose une connexion Wi-Fi gratuite, un spa et une salle de sport.Les chambres climatisées sont dotée d'une télévision par satellite à écran plat et d'une salle de bains privative avec des peignoirs et un sèche-cheveux. Certaines sont munies également d'un balcon ou d'une terrasse privée et d'un accès direct au jardin.Un petit-déjeuner buffet est servi tous les jours et un service d'étage est disponible 24h/24. Vous pourrez vous détendre et boire un verre près de la cheminée dans le salon de l'hôtel.Lors de votre séjour au Relais Christine, vous accéderez gratuitement au spa et à la salle de sport installés dans sa cave voûtée. L'établissement comprend un jacuzzi, un sauna et un espace soins.Sur place, vous pourrez également profiter de vélos et d'un service de concierge. Par ailleurs, vous rejoindrez en 10 minutes de marche les musées d'Orsay et du Louvre, ainsi que le jardin du Luxembourg.Enfin, le Relais Christine propose la location d'un cabriolet Fiat 500 S moyennant un coût supplémentaire. "
Hotel Dupond-Smith,https://www.booking.com/hotel/fr/dupond-smith.fr.html,48.83,2.315,9.0,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Dupond-Smith ! Connectez-vous pour économiser. L'Hôtel Dupond-Smith est situé dans le quartier du Marais au cœur de Paris. Il propose des hébergements décorés individuellement avec des éléments design. La connexion Wi-Fi est gratuite. De plus, vous serez à 15 minutes à pied du Louvre.Les chambres climatisées comportent une télévision à écran plat, un minibar et une station d'accueil pour iPod. Chaque salle de bains privative est pourvue d'une baignoire ou d'une douche et d'un sèche-cheveux.Durant votre séjour, vous pourrez vous détendre avec un verre au bar et préparer des boissons chaudes dans votre chambre avec la bouilloire électrique et la machine à café fournies.L'Hôtel Dupond-Smith possède un salon commun, un bureau d'excursions et une réception ouverte 24h/24. Il assure par ailleurs des services de ménage et de billetterie.L'Hotel Dupond-Smith se trouve à 10 minutes à pied de la cathédrale Notre-Dame et à 2 minutes de marche du Centre national d'art et de culture Georges-Pompidou. Enfin, vous rejoindrez l'aéroport de Paris-Charles de Gaulle à 25 km. "
Hotel Ducs de Bourgogne,https://www.booking.com/hotel/fr/des-ducs-de-bourgogne.fr.html,48.83,2.315,9.0," L’Hotel Ducs de Bourgogne est un établissement raffiné proposant des hébergements climatisés en plein centre de Paris, à 5 minutes de marche du Louvre et à 1 km de la cathédrale Notre-Dame.Les chambres présentent une décoration élégante de style Louis Philippe avec du mobilier en bois et des étoffes luxueuses. Elles disposent d’une télévision par satellite à écran plat et d’un espace de travail avec un bureau. Toutes les chambres sont desservies par un ascenseur, et certaines sont accessibles aux personnes à mobilité réduite.Un petit-déjeuner buffet est servi tous les matins dans la cave rénovée de l’hôtel ou en chambre sur demande. Le service d’étage vous permettra de déguster des boissons et des collations en chambre.La réception de l'Hotel Ducs de Bourgogne est ouverte 24h/24 et assure un service de concierge. Des journaux gratuits sont disponibles chaque jour dans le hall.L'établissement se trouve à 300 mètres de la station de métro Louvre-Rivoli, qui permet un accès direct aux Champs-Élysées et à l'Arc de triomphe. "
